,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
0,28,383,14,9,0,JP,,,
1,634,0,1,11,2,TH,,,
2,793,0,5,11,0,KR,,,
3,795,34,6,13,182,JP,,,
4,1008,1,4,14,0,KR,,,
5,1039,6,3,54,11,JP,,,
6,1411,280,6,60,6,KR,,,
7,1495,164,14,28,7,KR,,,
8,1537,0,2,12,0,KR,,,
9,1560,146,7,82,211,JP,,,
10,1618,13,21,16,10,JP,,,
11,1830,15,32,129,123,TH,,,
12,1963,0,4,1,0,JP,,,
13,2102,1083,10,14,222,KR,,,
14,2121,0,4,17,1,JP,,,
15,2373,3,13,42,42,JP,,,
16,3126,18,24,61,61,KR,,,
17,3248,2715,183,21,761,JP,,,
18,3997,0,8,9,0,JP,,,
19,5003,30,15,46,21,TH,,,
20,5614,0,4,14,0,JP,,,
21,6304,4,2,6,0,JP,,,
22,6638,2,16,22,1,VN,,,
23,6843,6,4,6,0,TR,,,
24,7139,0,5,18,1,TR,,,
25,9733,286,4,51,3,TH,,,
26,10305,0,14,27,0,TR,,,
27,10957,0,9,15,0,JP,,,
28,12523,2497,194,54,10,KR,5.0,8.0,3.0
29,12579,41,8,10,66,TH,,,
30,13186,0,7,60,1,TR,,,
31,13457,41,0,70,0,IL,,,
32,13614,0,4,58,0,ID,,,
33,15126,892,24,185,92,KR,,,
34,15722,2,10,14,29,KR,,,
35,15844,426,16,85,402,TH,,,
36,16072,0,22,21,3,KR,,,
37,16295,1,2,57,106,JP,,,
38,16571,52,11,58,436,IR,93.0,23.0,74.0
39,16821,0,0,58,0,TR,,,
40,17319,33,111,320,3,VN,134.0,51.0,121.0
41,17568,103,3,65,0,JP,,,
42,17942,176,11,70,1,TR,,,
43,18171,0,1,11,0,JP,,,
44,18174,3,2,11,1,JP,,,
45,18175,967,25,34,35,JP,,,
46,18630,123,19,50,26,TR,,,
47,18924,0,4,10,0,JP,,,
48,19268,57,4,18,0,JP,,,
