,user_id,timestamp,method,file_url,file_size,n_like,time_offset
0,2966042,1370391251,GET,2262209-3812.dat,261553,0,28266636
1,1685684,1370392034,POST,1685684-2320.dat,120068,7,28267419
2,1230913,1370395488,POST,1230913-1279.dat,57085,5,28270873
3,1230913,1370471417,POST,1230913-22447.dat,28391,2,28346802
4,1230913,1370494265,POST,1230913-11633.dat,72138,1,28369650
5,1230913,1370657295,POST,1230913-61979.dat,128276,3,28532680
6,1230913,1370657295,POST,1230913-61980.dat,103645,3,28532680
7,1230913,1371651107,POST,1230913-220104.dat,99604,1,29526492
8,1230913,1371668568,POST,1230913-224265.dat,46434,2,29543953
9,1230913,1371817784,POST,1230913-259083.dat,42901,1,29693169
10,145631,1370395826,POST,145631-5793.dat,28088,6,28271211
11,145631,1370583388,GET,903706-762.dat,42967,11,28458773
12,145631,1370583527,GET,2893759-42.dat,36583,0,28458912
13,145631,1370583528,GET,2893759-43.dat,28610,1,28458913
14,145631,1371824596,POST,145631-254113.dat,26945,1,29699981
15,681228,1370397076,POST,681228-6304.dat,62140,15,28272461
16,681228,1370400115,POST,681228-2602.dat,139053,3,28275500
17,681228,1370646304,POST,681228-47344.dat,62645,0,28521689
18,681228,1370653679,POST,681228-47538.dat,123729,1,28529064
19,681228,1370653679,GET,1088187-49655.dat,110246,0,28529064
20,681228,1370654503,POST,681228-55873.dat,109919,3,28529888
21,681228,1370891532,GET,739719-106369.dat,185806,4,28766917
22,681228,1370898170,GET,324213-110549.dat,176793,14,28773555
23,681228,1370905370,POST,681228-107434.dat,64444,2,28780755
24,681228,1371090585,GET,2925613-141443.dat,94102,11,28965970
25,681228,1371740126,GET,1560494-242662.dat,559496,6,29615511
26,681228,1371748666,POST,681228-229788.dat,37368,1,29624051
27,681228,1371748666,GET,1776559-237897.dat,99672,7,29624051
28,681228,1371748666,GET,484324-237891.dat,58082,2,29624051
29,681228,1371753720,POST,681228-239197.dat,132633,23,29629105
30,681228,1371764527,GET,808692-243430.dat,168870,44,29639912
31,681228,1371773060,GET,1560494-242662.dat,559496,6,29648445
32,681228,1371820996,POST,681228-251725.dat,48836,9,29696381
33,681228,1371846196,GET,50046-258513.dat,61023,1,29721581
34,681228,1372085007,POST,681228-305900.dat,69577,18,29960392
35,681228,1372342843,POST,681228-328635.dat,87416,8,30218228
36,1850127,1370399947,GET,1685684-2320.dat,120068,0,28275332
37,1850127,1370582109,GET,2332547-84.dat,103242,0,28457494
38,1850127,1370807669,GET,2463410-88762.dat,124672,0,28683054
39,1850127,1371097060,GET,485304-120731.dat,29037,1,28972445
40,1850127,1371604681,GET,2204886-206614.dat,75195,0,29480066
41,1174478,1370403207,GET,1685684-2320.dat,120068,0,28278592
42,1174478,1370483238,GET,2308840-227.dat,45188,0,28358623
43,374261,1370403960,GET,1011458-3344.dat,57892,0,28279345
44,374261,1370468623,GET,1011458-3346.dat,154357,0,28344008
45,374261,1371529847,GET,1279298-161372.dat,108518,0,29405232
46,374261,1371529850,GET,1011458-81250.dat,52813,0,29405235
47,374261,1371529957,GET,1011458-81250.dat,52813,0,29405342
48,374261,1371530084,GET,2224213-67389.dat,79335,0,29405469
49,374261,1371858961,GET,2353382-1531369.dat,36969,0,29734346
50,374261,1372211094,GET,2808818-536049.dat,25697,1,30086479
51,374261,1372211107,GET,1011458-950514.dat,71935,1,30086492
52,374261,1372811545,GET,41145-957200.dat,95396,0,30686930
53,2941178,1370408792,POST,2941178-3751.dat,71735,0,28284177
54,2941178,1370408803,POST,2941178-5020.dat,36141,2,28284188
55,2941178,1370409117,GET,2941178-3751.dat,71735,0,28284502
56,2941178,1371571084,GET,943586-166492.dat,39109,0,29446469
57,2155886,1370409754,POST,2155886-6863.dat,86515,1,28285139
58,1318278,1370413486,GET,2723994-2433.dat,52757,0,28288871
59,1318278,1371201431,GET,461921-114095.dat,26189,0,29076816
60,2258573,1370413793,GET,1851069-88.dat,49249,0,28289178
61,2258573,1371851478,POST,2258573-237140.dat,11410,0,29726863
62,646359,1370415367,POST,646359-3485.dat,20829,11,28290752
63,646359,1370416003,POST,646359-5021.dat,20454,4,28291388
64,646359,1370925867,GET,1782696-9675.dat,128821,0,28801252
65,646359,1371014745,POST,646359-119980.dat,25959,2,28890130
66,646359,1371685553,POST,646359-180477.dat,44448,0,29560938
67,2318423,1370417454,GET,755859-370.dat,27606,0,28292839
68,2318423,1371071107,GET,267834-733070.dat,80336,0,28946492
69,2318423,1371511690,GET,1198696-1238520.dat,15199,1,29387075
70,2318423,1371948290,GET,1883952-1583725.dat,64630,1,29823675
71,181911,1370417762,POST,181911-11236.dat,77430,8,28293147
72,181911,1370598761,GET,2625212-41882.dat,191094,2,28474146
73,181911,1370991680,GET,2119177-121686.dat,56751,1,28867065
74,181911,1371038431,POST,181911-480970.dat,78356,0,28913816
75,181911,1372037367,GET,1884009-298958.dat,106267,1,29912752
76,181911,1372360843,POST,181911-326519.dat,46671,1,30236228
77,576083,1370418230,GET,1979722-1493.dat,42751,3,28293615
78,444905,1370418339,POST,444905-717.dat,23371,2,28293724
79,164343,1370421314,GET,436420-1698.dat,22193,1,28296699
80,164343,1372013248,GET,436420-241489.dat,15734,1,29888633
81,2428530,1370421897,GET,70011-1154.dat,73349,0,28297282
82,2428530,1370421959,GET,70011-1136.dat,80833,0,28297344
83,1856815,1370422721,POST,1856815-12751.dat,118520,3,28298106
84,1856815,1372374031,POST,1856815-672919.dat,49321,1,30249416
85,2905107,1370424587,GET,1136732-44.dat,51887,0,28299972
86,1859142,1370424595,GET,2659518-106.dat,140538,0,28299980
87,2742690,1370424598,GET,1811234-115.dat,21693,0,28299983
88,683386,1370424611,GET,1349904-141.dat,191226,0,28299996
89,683386,1371377129,GET,437684-34258.dat,83084,0,29252514
90,1606750,1370425411,GET,3002328-1352.dat,120752,0,28300796
91,2793267,1370425520,GET,339781-8026.dat,93350,0,28300905
92,1666691,1370427483,GET,1993894-11395.dat,42446,0,28302868
