,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
0,2002,53,30,86,0,BR,,,
1,6906,0,6,14,0,BR,,,
2,7479,75,10,90,0,BR,,,
3,9009,83,1,5,0,AR,,,
4,9194,19,5,12,10,BR,,,
5,9757,8,3,50,3,BR,,,
6,10239,0,6,26,0,BR,,,
7,10454,3,12,115,6,BR,,,
8,10736,66,20,18,4,BR,,,
9,10760,0,13,105,4,AR,,,
10,11969,96,14,37,39,BR,,,
11,12887,9,10,85,6,BR,,,
12,14616,0,7,52,2,BR,,,
13,15981,0,4,54,0,BR,,,
14,16557,0,8,51,2,BR,,,
15,16568,21,15,98,46,BR,,,
16,17667,0,19,72,0,BR,,,
17,17921,8,22,110,9,BR,,,
18,17937,0,11,56,0,BR,,,
19,18627,16,2,5,0,BR,,,
20,20623,74,11,18,17,BR,,,
21,20766,89,15,13,32,BR,,,
22,20930,66,20,21,63,BR,216.0,71.0,2462.0
23,21505,3862,291,3028,26,BR,,,
24,22407,49,1,10,13,BR,,,
25,23658,1,1,8,12,BR,,,
26,25057,0,9,56,20,BR,,,
27,25877,11,4,56,12,BR,,,
28,26193,1,1,0,0,BR,,,
29,28788,9,11,14,1,BR,,,
30,29044,8,8,7,0,BR,,,
31,29415,3,0,58,3,BR,,,
32,29811,4033,193,33,11,BR,,,
33,31269,0,9,56,0,BR,,,
34,31287,0,55,62,2,BR,,,
35,31326,190,5,82,3,BR,,,
36,31374,0,6,1,0,BR,,,
37,31585,101,37,138,10,BR,,,
38,31590,10,4,11,5,BR,,,
39,33557,2,1,61,0,AR,329.0,192.0,426.0
40,33926,1415,119,97,101,BR,,,
41,38342,3,3,56,0,AR,,,
42,38405,0,0,59,0,AR,,,
43,38411,16,3,93,82,AR,,,
44,38475,0,1,1,0,AR,,,
45,38659,1297,28,113,293,BR,,,
46,38830,142,16,51,1,BR,46.0,81.0,1268.0
47,38834,14578,365,917,638,BR,,,
48,40599,0,11,4,0,BR,,,
49,40736,1,3,14,0,BR,,,
50,41218,0,6,68,10,BR,,,
51,41335,0,2,58,3,BR,,,
52,41546,0,10,23,1,BR,,,
53,41582,0,0,56,0,AR,,,
54,41740,0,1,112,25,BR,,,
55,42016,3,5,57,5,BR,,,
56,42017,3,2,60,39,BR,,,
